imputer,imputed_cells,RMSE_z,MAE_z
iterative,57,0.9834739553608093,0.7483505083003424
mean,57,1.1359385793788634,0.9118859382175889
median,57,1.1443087189068033,0.9229106759649779
knn5,57,1.1512027862348346,0.9199223147548422
