term,coef,OR,OR_lo95,OR_hi95,z,p
const,-2.0724473717395338,0.1258773357838346,0.03891844124919809,0.40713613278031097,-3.460435735533058,0.0005393019425006251
Age_years,0.4325140619285733,1.541127146360177,0.5904111654981857,4.02274384368085,0.8835556032098968,0.3769361542725662
Illness_Duration_days,0.39087521583908696,1.4782740367182303,0.6219162591910463,3.513807679634746,0.8848386051307937,0.3762436847442343
Weight_kg,0.0,1.0,,,,
Temperature_C,0.0,1.0,,,,
Heart_Rate_bpm,0.01845810671331025,1.0186295105375753,0.45014278251106743,2.305059905547879,0.04430043838162547,0.9646649222412118
Resp_Rate_bpm,0.0,1.0,,,,
Clinical_VAS_0_10,0.0,1.0,,,,
Vulvar_Discharge_VAS_0_3,0.0,1.0,,,,
TLC_per_uL,-0.17013146333254509,0.8435539128980875,0.2970870262041983,2.395201207731563,-0.3195267178986162,0.7493271344375649
Neutrophils_per_uL,0.020535056563570808,1.0207473515103886,0.3671638187462793,2.837766420376713,0.03936372710899865,0.9686003990561081
BUN_mg_dL,0.6767950791899426,1.967561736948508,0.3260497368121948,11.873339406906819,0.7379794404055086,0.4605269427980814
Creatinine_mg_dL,0.7684702088175105,2.1564647883338623,0.31902985564574776,14.576505305157301,0.7881989912175587,0.4305803191067903
ALP_U_L,0.7911735704567894,2.2059837851333985,0.5124136911066501,9.49694464595917,1.0622714427257098,0.28811247476883706
ALT_U_L,0.02116407810360777,1.0213896255623538,0.1572094419855658,6.635967624019618,0.022166780956742023,0.982314916032462
Total_Protein_g_dL,0.0,1.0,,,,
Albumin_g_dL,-0.7198507914334039,0.4868248889849709,0.11096396237354136,2.1358147948737987,-0.9541546650537834,0.34000535873556825
Globulin_g_dL,0.0,1.0,,,,
Uterine_Diameter_mm,0.0,1.0,,,,
Progesterone_ng_mL,-0.46771026027248036,0.6264350004721105,0.2025434291183906,1.9374650242892626,-0.8119029923357698,0.41684729729685044
