predictor,OR_per_SD,p_value
BUN_mg_dL,0.12474819795189468,0.0001361984075415243
Creatinine_mg_dL,0.17237503299660778,0.000214374361757471
ALP_U_L,0.1624180222183873,0.0003321017518715816
Albumin_g_dL,4.822070985131997,0.0005536061203112172
ALT_U_L,0.24917774643440385,0.0006362602542163585
Illness_Duration_days,0.3987332541098974,0.006683467633816542
Age_years,0.49022043891648776,0.021696785158336767
Uterine_Diameter_mm,0.5236529462785825,0.045703902916765564
Clinical_VAS_0_10,0.5637345342825895,0.0734868699788762
Globulin_g_dL,0.6068119518784241,0.07860464281763403
Temperature_C,1.4950394020922453,0.2027978362183026
Progesterone_ng_mL,1.4828344027937033,0.2086185373742221
Total_Protein_g_dL,1.4011756596367284,0.25772335332069285
Weight_kg,0.7245052567185801,0.2876792913102685
Vulvar_Discharge_VAS_0_3,1.284153262668703,0.405908450532919
TLC_per_uL,0.8114872576731496,0.48367954291946413
Neutrophils_per_uL,1.1934941760906612,0.5551534317354978
Heart_Rate_bpm,0.8616911901620562,0.6119453381649077
Resp_Rate_bpm,0.8772598987620411,0.6613949336596667
