feature,importance_mean,importance_sd
Albumin_g_dL,0.09725274725274727,0.056564415206602575
Group,0.09558608058608062,0.028902839819987654
ALP_U_L,0.06724358974358974,0.06846093824763301
BUN_mg_dL,0.04923076923076924,0.03501291205426072
