term,coef,OR,OR_lo95,OR_hi95,z,p
const,2.0113879034817956,7.473682902982772,1.4294167790967278,39.07603223297356,2.3833319105803503,0.017156717652122566
BUN_mg_dL,-0.7693832837558064,0.46329870406077966,0.12996706466050947,1.6515391014260399,-1.186375581596483,0.23547401043673521
Creatinine_mg_dL,-0.19283230545619914,0.8246202468610999,0.19942448558241377,3.4098047165439302,-0.26625902989220046,0.7900397239011827
ALP_U_L,-0.9094483196447751,0.4027463500061715,0.11833185885803969,1.3707603684134393,-1.4553383815347165,0.14557560591697305
Albumin_g_dL,0.7069411259343062,2.0277790415745005,0.46474128254042657,8.847692244966675,0.9405308138286482,0.34694535158762063
ALT_U_L,0.0,1.0,,,,
Illness_Duration_days,-0.13264697125592803,0.8757742110114357,0.38336546720852765,2.0006509043640897,-0.3147099754886837,0.7529818695063364
Age_years,-0.470007903567597,0.6249973285545459,0.2608694772398242,1.4973835376731723,-1.054351417327881,0.29172205624917513
Uterine_Diameter_mm,0.0,1.0,,,,
Clinical_VAS_0_10,0.0,1.0,,,,
Globulin_g_dL,0.0,1.0,,,,
Group_G1_Supportive,-0.39846310864011186,0.6713510471881946,0.08297049899161989,5.432198601170374,-0.37353408070943067,0.708750985087123
Group_G2_PGF2a,0.0,1.0,,,,
Group_G3_Aglepristone_PGF2a,0.749127979002397,2.1151547528175816,0.16860200862612457,26.535150232329947,0.5805030183011729,0.5615754519247023
Group_G4_OHE,2.59011485235193,13.331302646735386,0.6439699210933323,275.9812600518898,1.6753332340459484,0.09386886828284413
